Date;US dollar (USD);Euro (EUR)
01.01.1979;226.0;137.06
02.01.1979;226.8;137.29
03.01.1979;218.6;134.01
04.01.1979;223.15;136.79
05.01.1979;225.5;138.35
08.01.1979;223.1;136.38
09.01.1979;224.0;137.29
10.01.1979;220.7;135.48
11.01.1979;220.65;135.94
12.01.1979;217.6;134.08
15.01.1979;216.85;133.83
16.01.1979;220.65;135.62
17.01.1979;227.25;139.22
18.01.1979;231.75;141.66
19.01.1979;230.55;141.14
22.01.1979;235.0;144.0
23.01.1979;230.0;141.14
24.01.1979;236.1;144.69
25.01.1979;233.85;143.98
26.01.1979;235.45;144.64
29.01.1979;235.2;145.25
30.01.1979;233.5;144.09
31.01.1979;233.7;144.84
01.02.1979;229.35;142.85
02.02.1979;230.3;143.48
05.02.1979;243.1;150.26
06.02.1979;244.5;150.8
07.02.1979;251.6;153.67
08.02.1979;250.5;153.49
09.02.1979;246.75;151.3
12.02.1979;244.25;150.01
13.02.1979;240.6;148.1
14.02.1979;240.65;148.25
15.02.1979;247.75;152.37
16.02.1979;247.05;152.19
19.02.1979;248.1;152.84
20.02.1979;247.0;152.24
21.02.1979;250.75;154.63
22.02.1979;252.35;155.4
23.02.1979;251.0;154.44
26.02.1979;248.6;152.73
27.02.1979;247.9;152.46
28.02.1979;251.3;154.64
01.03.1979;248.8;153.27
02.03.1979;248.0;152.83
05.03.1979;238.15;147.01
06.03.1979;239.75;147.91
07.03.1979;242.25;149.08
08.03.1979;239.2;147.09
09.03.1979;241.0;148.43
12.03.1979;240.0;148.01
13.03.1979;239.1;147.76
14.03.1979;239.5;147.76
15.03.1979;240.1;148.22
16.03.1979;244.0;150.77
19.03.1979;242.25;149.66
20.03.1979;242.1;149.41
21.03.1979;239.9;148.28
22.03.1979;242.85;149.85
23.03.1979;242.5;149.7
26.03.1979;245.25;150.98
27.03.1979;244.35;150.72
28.03.1979;244.4;150.69
29.03.1979;241.5;149.12
30.03.1979;240.1;148.04
02.04.1979;239.7;148.52
03.04.1979;240.0;148.77
04.04.1979;239.75;148.51
05.04.1979;240.65;149.14
06.04.1979;239.75;148.52
09.04.1979;240.2;149.87
10.04.1979;239.75;149.27
11.04.1979;238.35;148.25
12.04.1979;233.95;145.91
13.04.1979;233.95;145.88
16.04.1979;233.95;145.88
17.04.1979;231.9;144.82
18.04.1979;233.2;145.35
19.04.1979;240.9;149.87
20.04.1979;236.4;147.67
23.04.1979;236.85;147.78
24.04.1979;239.7;149.25
25.04.1979;241.8;150.41
26.04.1979;242.2;150.7
27.04.1979;243.7;151.15
30.04.1979;245.3;152.76
01.05.1979;247.3;152.8
02.05.1979;246.3;153.16
03.05.1979;246.5;153.28
04.05.1979;248.45;154.48
07.05.1979;248.45;154.48
08.05.1979;248.95;154.76
09.05.1979;247.95;154.12
10.05.1979;252.25;157.08
11.05.1979;251.5;156.73
14.05.1979;251.0;156.42
15.05.1979;255.5;159.57
16.05.1979;256.5;160.1
17.05.1979;256.8;160.68
18.05.1979;256.4;161.08
21.05.1979;262.0;164.85
22.05.1979;265.4;166.79
